ENGLISH,ARABIC,ROOT,CATEGORY,SOURCE,DATE,EQUIVALENTS
quarter,رُبع,ر-ب-ع,"time, numbers",chapter 2.3,,
questions,أَسْئِلَة,,class,lesson 9,,
rain,مطر,,weather,,,
rainy,مُمَطِر,,weather,,,
reading,القِراءة,,,,20.02.23,
red (f.),حَمْراء,,colors,chapter 2.8,,"red, red (f)"
red (m.),أَحْمَر,,colors,chapter 2.8,,red
red meat,لَحم,,"food, meat",,,
rent,أُجرَة,أ-ج-ر,travel,chapter 3.1,03.01.24,fair
rent,إيجار,,,chapter 7.0,20.02.23,
restaurant,مَطعم,,"place, location, food",,,
restaurants,مَطاعِم,,"place, location, food",,,
restaurants,مَطاعِم,,food,chapter 6.1,18.01.23,
rice,زُزّ,,food,,,
rice,رزّ,,food,chapter 6.1,18.01.23,
right,يَمين,,,chapter 6.1,18.01.23,
road,شارع,,"transportation, travel",,,street
road,طريق,,,chapter 6.1,18.01.23,
room,غُرْفة,,,,,
rooms,غُرَف,,,,,
rooms,غرف,,,,01.03.23,
salad,سَلَطة,,food,chapter 6.1,18.01.23,
same,نَفْس,,,lesson 10,,
satan,الشَتْطٰن,,,,15.02.23,
saturday,يوم السَّبت,س-ب-ع,"days, week, time",lesson 12,,
say,قُلْ,,,,30.01.23,
school,مَدْرَسة,د-ر-س,"place, location",,,
schools,مَدارِس,د-ر-س,"place, location",,,
science,علْم,ع-ل-م,"school, class",lesson 10,,
seasons of the year,فصول السِّنة,,"weather, seasons",,,
second (f.),ثانية,ث-ن-ي,,,,second
self,نفس,,,chapter 9.3,30.03.23,
september,سِبْتِمْبِر,,,,,
service,خِدمة,,,chapter 4.1,20.01.23,
seven,سبْعة,س-ب-ع,numbers,lesson 7,,
seventh (f.),سابِعة,س-ب-ع,,,,"seventh, seventh (f)"
shami,شامي,,,lesson 6,,
she,هِتَ,,pronouns,lesson 12,,
she flew,طارَت,ط-ي-ر,travel,chapter 3.1,03.01.23,"it (f.) flew, it flew, it (f) flew, it flew (f), it flew (f.)"
she has,عَندها,,"possession, dialogue",,,
she is living,ساكنة,س-ك-ن,,,03.01.23,
she lives,تَسْكُن,س-ك-ن,"verbs, present tense",,11.01.23,
she studied,دَرَسَت,د-ر-س,"verbs, past tense",,06.01.23,
she studies,تَدْرُس,د-ر-س,"verbs, present tense",,11.01.23,
she traveled,سافرت,س-ف-ر,travel,chapter 3.1,03.01.23,
she wants,تريدُ,,,,10.02.23,
she was,كانَتْ,ك-ا-ن,"verbs, past tense",,09.01.23,
shirt,قَميص,,clothes,chapter 2.8,,
shoes,كُندَرة,,clothes,chapter 2.8,,
shop,مَحَلّ,,,chapter 9.0,29.03.23,
shops,محلات,,,chapter 9.0,29.03.23,
shorts,شورت,,,chapter 9.1,29.03.23,
shorts (pl.),شورتات,,,chapter 9.1,29.03.23,
should,لازِم,,,chapter 6.1,18.01.23,
sick,مريض,,,,15.02.23,
sister,أُخْت,,"family, relatives",chapter 2.7,,
sisters,أَخَوات,,"family, relatives",,,
sit down,اقعدي,,,chapter 4.1,20.01.23,
sitting room,غُرْفة جُلوس,,,,,
six,سِتّة,س-ت-ة,numbers,lesson 7,,
sixth (f.),سادسة,س-ت-ة,,,,"sixth, sixth (f)"
small,صغير,ص-غ-ر,"size, adjectives",book,,
snow,ثلج,,weather,,,
snowy,مُثَلِج,,weather,,,
soap,صابون,,,lesson 6,,
socks,جْرابات,,,chapter 9.2,30.03.23,
some,بَعض,,,chapter 9.1,29.03.23,
something sweet,شيء حلو,,food,chapter 6.1,18.01.23,
sometimes,أحْيانًا,,,,,
sorry,أسِف,,,chapter 4.1,20.01.23,
south,جنوب,,direction,book,,
southern,جَنوبيّ,,"direction, adjectives",book,,
specially,خصوصاً,,,chapter 6.1,18.01.23,
sports,الرِّياضة,,,,23.01.23,
spring,الرَّبيع,,"weather, seasons",,,
spring break,عُطْلة الربيع,,,,28.03.23,
state,وِلاية,,"places, states",lesson 8,,
stop,بس,,,lesson 4,,no more
store,دُكان,,,chapter 9.0,29.03.23,
stores,دُكاكين,,,chapter 9.0,29.03.23,
story,قصّة,,,chapter 9.3,30.03.23,
street,شارع,,places,lesson 7,,road
student,طالِب,ط-ل-ب,"job, class, school",book,,
students,طُلّاب,,,,01.03.23,
students (f.),طالِبتَين,ط-ل-ب,,,,"students, students (f)"
studying,الدراسة,,,,20.02.23,
sudan,السودان,,"countries, places",book,,
sugar,السُكَّر,,food,,,the sugar
suitcase,شنطة,,,chapter 4.3,20.01.23,
suitcases,شنط,,,chapter 4.3,20.01.23,
summer,الصَّيْف,,"weather, seasons",,,the winter
sun,شمس,,,book,,
sunday,يوم اُلأَحد,أ-ح-د,"days, week, time",lesson 12,,
sunny,مُشَمِس,,weather,,,
sweet,حلو,,food,chapter 6.1,18.01.23,
sweets,حَلَويّات,,food,chapter 6.1,18.01.23,desserts
syria,سوريا,,"countries, places",book,,
syrian,سوريّ,,"nationality, adjectives",book,,
table,طاولة,,,chapter 7.0,20.02.23,
take (f.),خُذي,,food,,08.02.23,
take (m.),خُذْ,,food,,08.02.23,
taxi fare,أَجرة التاكسي,,"travel, transportation",,13.01.23,
teacher,أُستاذ,,"jobs, class, school",book,,professor
ten,عَشرة,,numbers,lesson 7,,
tenth (f.),عاشِرة,,,,,
test,اِمتِحان,,,chapter 4.1,20.01.23,
thank you,شُكراً,,dialogue,lesson 9,,
the afternoon,بعد الظُهر,,time,,13.01.23,
the arab country,الدَّولة الَرَبِيّة,,,,,
the arabic book,الكِتاب الَرَبِيّ,,,,,
the arabic language,اللُغة الَرَبِيّة,,,,,arabic
the beautiful city,ألمدينة الجميلة,,grammar,lesson 12,,
the best,أَحْسَن,ح-س-ن,superlatives,,09.01.23,
the big house,البيت الكبير,,,,30.01.23,
the black sea,البَحر الأسْود,,"place, location, geography",,,
the city is beautiful,المدينة جميلة,,grammar,lesson 12,,
the first time,المرة الأولى,,,,23.01.23,
the greatest,أَكْبَر,ك-ب-ر,superlatives,,09.01.23,the biggest
the hour,السّاعة,س-ا-ع-ة,,,,hour
the last day,اليوم الآخِر,,time,,,
the mediterranean sea,البَحر المتَوَسِّط,,"place, location, geography",,,
the morning,الصباح,,time,,13.01.23,
the most beautiful,أَجْمَل,ج-م-ل,superlatives,,09.01.23,
the most generous,أَكْرَم,ك-ر-م,superlatives,,09.01.23,
the most majestic,أَمْجَد,م-ج-د,superlatives,,09.01.23,
the most praiseworthy,أَحْمَد,ح-م-د,superlatives,,09.01.23,
the new year,رأس السنة,,,,23.01.23,
the oldest,أَقْدَم,ق-د-م,superlatives,,09.01.23,the most ancient
the party of god,حِزْب اللّٰه,,,,15.02.23,
the pleasure is mine,الشَّرَفاي,,dialogue,lesson 10,,
the present tense,المعل المُضارِع المرفوع,,,,10.02.23,
the red sea,البَحر الأحْمر,,"place, location, geography",,,
the sea,البَحر,,"place, location, geography",,,the ocean
the smallest,أَصْغَر,ص-غ-ر,superlatives,,09.01.23,
the time is _____,السَّاعةُ الــــــ,س-ا-ع-ة,,,,
the white sea,البَحر الأبيَض,,"place, location, geography",,,
their (2),ـــهُما,,"pronouns, possession",,06.01.23,their (dual)
their (f.) (pl.),ـــهُنَّ,,"pronouns, possession",,06.01.23,"their (f) (pl), their (pl.) (f.), their (pl) (f), their (f pl)"
their (pl.) (f.),ـهُنَّ,,"possession, pronouns",,,
their (pl.) (m.),ـهم,,"possession, pronouns",lesson 13,,
then,بعدين,,,chapter 4.1,20.01.23,
there,هناك,,,,20.02.23,
therefore,إذَن,,,chapter 9.1,29.03.23,in that case
they,هُم,,pronouns,lesson 12,,
they (2),هُما,,pronouns,,06.01.23,they (dual)
they (f.) (pl.),هُنَّ,,pronouns,,06.01.23,"they (f) (pl), they (pl.) (f.), they (pl) (f), they (f pl)"
they (pl.) (f.) have,عَندهن,,"possession, dialogue",,,
they (pl.) (m.) have,عَندهم,,"possession, dialogue",,,
they studied (f.) (2),دَرَسَتا,د-ر-س,"verbs, past tense",,06.01.23,they studied (f) (dual)
they studied (f.) (pl.),دَرَسنَ,د-ر-س,"verbs, past tense",,06.01.23,"they studied (f) (pl), he (f) (pl) studied, he (f.) (pl.) studied)"
they studied (m.) (2),دَرَسا,د-ر-س,"verbs, past tense",,06.01.23,they studied (m) (dual)
they studied (m.) (pl.),دَرَسوا,د-ر-س,"verbs, past tense",,06.01.23,"they studied (m) (pl), he (m) (pl) studied, he (m.) (pl.) studied)"
they want,يريدونَ,,,,10.02.23,
they were,كانوا,ك-ا-ن,"verbs, past tense",,09.01.23,
third (f.),ثالثة,ث-ل-ث,,,,third
this (f.),هَذَا,,,lesson 13,,
this (f.),هٰذِهِ,,,,,
this (m.),هَذه,,,lesson 13,,
this (m.),هٰذا,,,,,
three,ثَلاثة,ث-ل-ث,numbers,lesson 7,,
thursday,يوم الخَميس,خ-م-س,"days, week, time",lesson 12,,
time,ساعة,س-ا-ع-ة,time,chapter 2.3,,"clock, hour"
time,وَقت,,,chapter 9.2,30.03.23,
tired,تعبان,,adjectives,lesson 6,,
tired,تَعبان,,,chapter 4.1,20.01.23,
to,إِلى,,,,06.01.23,
to,إلا,,preposition,book,,"except, minus"
to ______,لِــــــــــــــــ,,,,01.02.23,
to ask,طلَب—يطلُب,ط-ل-ب,,chapter 6.1,18.01.23,
to be,يَكون,,,,10.02.23,
to be happy,فَرِحَ,,,,01.02.23,
to it (f.),إليها,,,,01.02.23,to him
to it (f.),لَها,,,,01.02.23,
to it (m.),إليهِ,,,,01.02.23,to her
to it (m.),لَهُ,,,,01.02.23,
to me,إليّ,,,,01.02.23,
to me,لي,,,,01.02.23,
to order,طلَب—يطلُب,ط-ل-ب,food,chapter 6.1,18.01.23,
to seek,طلَب—يطلُب,ط-ل-ب,food,chapter 6.1,18.01.23,
to them,إليهِم,,,,01.02.23,
to them,لَهُم,,,,01.02.23,
to us,إلينا,,,,01.02.23,
to us,لَنا,,,,01.02.23,
to you (f.),إليكِ,,,,01.02.23,
to you (f.),لِك,,,,01.02.23,
to you (m.),إليكَ,,,,01.02.23,
to you (m.),لَك,,,,01.02.23,
to you (pl.),إليكُم,,,,01.02.23,
to you (pl.),لَكُم,,,,01.02.23,
today,اليوم,,time,chapter 2.3,,"day, the day"
tomato,بَنْدورة,,"food, fruit",chapter 2.9,,
totally,تماماً,,,chapter 9.2,30.03.23,
train,قِطار,,"transportation, travel",,,
trip,رِحلة,,,chapter 4.1,20.01.23,
tripoli,طرابلس,,"cities, places",book,,
tuesday,يوم الثْلاثاء,ث-ل-ث,"days, week, time",lesson 12,,
tunisa,تونيس,,"countries, places",book,,
twelfth (f.),الثانية عَشر,,,,,twelfth
two,إِثْنان,ث-ن-ي,numbers,lesson 7,,
two brothers,أخوان,,"family, relatives",,,brothers (dual)
two rooms,غُرْفتان,,house,,,
underwear,داخليّة,,clothes,chapter 9.2,03.04.23,
unfound,عَيْر موجود,,,,01.02.23,
university,جامِعَة,ج-م-ع,"places, class, school",,,
unknown,عَيْر مَعْروف,,,,01.02.23,
upset,زَعلان,,,chapter 4.1,20.01.23,
verb,الفِعل,,,,06.01.23,
very,كَثير,,,,,"a lot, much"
very,جِدًّا,,,,,
very far from,بعيد عن جدًّا,,,,,
visa,تأشيرة,أ-ش-ر,travel,chapter 3.1,03.01.23,
visit,زِيارة,ز-و-ر,travel,chapter 3.1,03.01.23,
water,مَيّة,,"food, drink",chapter 2.9,,
water,ماء,,"food, drink",chapter 2.9,,
we,نَحْنُ,,pronouns,lesson 12,,
we have,عَندنا,,"possession, dialogue",,,
we want,نريدُ,,,,10.02.23,
we were,كُنّا,ك-ا-ن,"verbs, past tense",,09.01.23,
weather,الجَوّ,,weather,,,
weather,الطَّقْس,,weather,,,the weather
wednesday,يوم الأَرْبِعاء,ر-ب-ع,"days, week, time",lesson 12,,
week,الأُسبوع,,time,,,the week
weekend,عُطلة,,,,09.01.23,
weeks,أَسابيع,,time,,28.03.23,
welcome,مَرْجَبًا,,dialogue,lesson 9,,
welcome,مَرْحَبًا,,"dialogue, greeting",lesson 11,,
welcome to you,أهلاً (وسهلاً) فيكِ,,travel,chapter 3.1,03.01.24,welcome
west,غرب,,direction,book,,
what (before noun) (formal),ما...؟,,"interrogatives, question",,,
what (before noun) (informal),شو...؟,,"interrogatives, question",,,"what?, what"
what (before verb) (formal),ماذا...؟,,"interrogatives, question",,,
what (before verb) (informal),أيْش...؟,,"interrogatives, question",,,what?
what (dialect),شو,,"dialogue, question",lesson 15,,"what?, what"
what (formal),ماذا,,"dialogue, question",lesson 15,,
what (informal),ما,,"dialogue, question",lesson 15,,
what did you (f.) do?,ماذا فَعَاْتَ؟,,,,09.01.23,
what do you drink?,ماذا تشرَب؟,,"food, drink",,,
what do you eat?,ماذا تاكل؟,,food,,,
what do you study?,ماذا تَدْرُس,,"school, class, dialogue",lesson 10,,
what do you study? (f),ماذا تَدْرُسين؟,,"dialogue, school",lesson 11,,
what do you study? (m),ماذا تَدْرُس؟,,"dialogue, school",lesson 11,,
what is the weather like in ____ today?,كَيْفَ الطَّقْس مدينة ـــــــــ اليوم؟,,weather,,,
what time is it?,كم السّاعة؟,,,,,
what's up?,شو أخبارَك؟,,dialogue,lesson 11,,what's up
what's your name?,شو ٱِسمَك؟,,"dialogue, introduction",lesson 11,,"what is your name, what's your name, what is your name?"
when (dialect),إِمْتى؟,,,,,"when?, when"
when (formal),مَتَى؟,,"interrogatives, question, time",,,
when (informal),إِمْتى؟,,"interrogatives, question, time",,,"when?, when"
when were you born?,مَتى ياربخ ولادَك؟,,,chapter 3.1,04.01.23,"when is your birthday?, when is your date of birth?, what is your date of birth?, what is your birthday?"
where (formal),أَينَ؟,,"interrogatives, question",,,"where, where?"
where (informal),وَين؟,,"interrogatives, question",,,
where are you from?,من أَيْنَ أنْتَ؟,,"dialogue, place, introduction",lesson 11,,
where do you live?,أَيْنَ تَسْكن؟,,"dialogue, place, introduction",lesson 11,,
where do you work? (f),ماذا تَعْملين؟,,"dialogue, work",lesson 11,,
where do you work? (m),ماذا تَعْمل؟,,"dialogue, work",lesson 11,,
where is your place of birth?,أينَ مكان ولادَك؟,,,chapter 3.1,04.01.23,"where were you born?, where is your birthplace?"
which,الّني,,,chapter 9.3,30.03.23,
who (formal),مَن؟,,"interrogatives, question",,,
who (informal),مين؟,,"interrogatives, question",,,
who said that?,مَن قالَ هذا؟,,,,30.01.23,
why (formal),لِماذا؟,,"interrogatives, question",,,
why (informal),لَيْش؟,,"interrogatives, question",,,
will,سَوفَ,,future tense,,01.03.23,going to
window,شُبّاك,,,book,,thanks
winter,الشِّتاء,,"weather, seasons",lesson 18,,the winter
with,مع,,preposition,1.3.23,,
with _____,بــــــ,,,,,with
with me,معي,,,chapter 4.1,20.01.23,
with milk,بحَليب,,,,,
with sugar,بِسُكر,,,,,
without,بِدون,,,,,
without,بَلاش,,,chapter 9.1,29.03.23,no need for
without sugar,بِدون سُكر,,,,,
words,كلمات,,,,,
year,السَّنة,,time,,,the year
years,سَنَوات,,time,,28.03.23,
years,سِنين,,time,,28.03.23,
yellow (f.),صَفْراء,,colors,chapter 2.8,,"yellow, yellow (f)"
yellow (m.),أَصْفَر,,colors,chapter 2.8,,
yemen,اليمن,,"countries, places",book,,
yemeni,يمنيّ,,"nationality, adjectives",book,,
yes,أ,,,lesson 10,,
yes,أيوا,,,lesson 10,,
yes,نَعَم,,,lesson 8,,
yes/no question prompt (formal),هَلْ...؟,,"interrogatives, question",,,
yes/no question prompt (informal),أَ...؟,,"interrogatives, question",,,"is, yes/no"
yesterday (dialect),اِم بارِح,,time,,11.01.23,yesterday
yesterday (formal),أمس,,time,,11.01.23,yesterday
you (2),أَنتُما,,pronouns,,06.01.23,you (dual)
you (f.),أَنْتِ,,pronouns,lesson 12,,you
you (f.) (pl.),أَنتُنَّ,,pronouns,,06.01.23,"you (f) (pl), you (pl.) (f.), you (pl) (f), you (f pl)"
you (f.) have,عَندُكِ,,"possession, dialogue",,,"you have, you (f) have"
you (f.) want,تريدينَ,,,,10.02.23,
you (f.) were,كُنْتِ,ك-ا-ن,"verbs, past tense",,09.01.23,
you (m.),أَنْتَ,,pronouns,lesson 12,,you
you (m.) have,عَندُكَ,,"possession, dialogue",,,"you have, you (m) have"
you (m.) want,تريدُ,,,,10.02.23,
you (m.) were,كُنْتَ,ك-ا-ن,"verbs, past tense",,09.01.23,
you (pl.),أنتُم,,pronouns,lesson 12,,"you, you all"
you (pl.) (f.) have,عَندكن,,"possession, dialogue",,,
you (pl.) (m.) have,عَندكم,,,,,
you (pl.) want,تريدونَ,,,,10.02.23,
you (pl.) were,كُنْتُم,ك-ا-ن,"verbs, past tense",,09.01.23,
you became upset,زعلت,,,chapter 4.2,20.01.23,
you know,بتعرفي,,,chapter 4.1,20.01.23,
you live (f.),تسكنين,س-ك-ن,"question, places, introduction, dialogue",lesson 7,,"you live, live (f.), live (f), you (f.) live, you (f) live"
you live (m.),تسكن,س-ك-ن,"question, places, introduction, dialogue",lesson 7,,"you live, live (m.), live (m), you (m.) live, you (m) live"
you lost it,ضيّعتيه,,,chapter 4.1,20.01.23,
you return,بترجعي,,,chapter 4.1,20.01.23,
you studied (2),دَرَستُما,د-ر-س,"verbs, past tense",,06.01.23,you studied (dual)
you studied (f.),دَرَست,د-ر-س,"verbs, past tense",,06.01.23,
you studied (f.) (pl.),دَرَستُنَّ,د-ر-س,"verbs, past tense",,06.01.23,
you studied (m.),دَرَستَ,د-ر-س,"verbs, past tense",,06.01.23,
you studied (m.) (pl.),دَرَستُم,د-ر-س,"verbs, past tense",,06.01.23,
you take,تاخُذي,,,chapter 6.1,18.01.23,
you want,بِدَّك,,,chapter 4.1,20.01.23,
young,صَغير,,"age, adjectives",lesson 8,,
young people,شباب,,,lesson 4,,
young person,شاب,,,lesson 4,,
your (2),ـــكُما,,"pronouns, possession",,06.01.23,your (dual)
your (f.),ـكِ,,"possession, pronouns",lesson 13,,
your (f.) (pl.),ـــكُنَّ,,"pronouns, possession",,06.01.23,"your (f) (pl), your (pl.) (f.), your (pl) (f), your (f pl)"
your (m.),ـكَ,,"possession, pronouns",lesson 13,,
your (pl.) (f.),ـكن,,"possession, pronouns",,,
your (pl.) (m.),ـكم,,"possession, pronouns",lesson 13,,
you're welcome,عفواً,,dialogue,book,,
,,,,,,
,,,,,,
