,,first person,second person,third person
masculine,singular,ــَــَــــتُ,ــَــَــــتَ,ــَــَــَـ
masculine,dual,,ــَــَــــتُما,ــَــَـــا
masculine,plural,ــَــَــــنا,ــَــَــــتُم,ــَــَـــوا
feminine,singular,ــَــَــــتُ,ــَــَــــتِ,ــَــَــَـت
feminine,dual,,ــَــَــــتُما,ــَــَــَــتا
feminine,plural,ــَــَــــنا,ــَــَــــتُنَّ,ــَــَـــنَ
