,,first person,second person,third person
masculine,singular,ــــي,ـــــكَ,ــــهُ
masculine,dual,,ـــكُما,ـــهُما
masculine,plural,ــــنا,ـــــكُم,ــــهم
feminine,singular,ــــي,ـــــكِ,ــــها
feminine,dual,,ـــكُما,ـــهُما
feminine,plural,ــــنا,ـــكُنَّ,ـــهُنَّ
