,,first person,second person,third person
masculine,singular,أنا,أَنْتَ,هُوَ
masculine,dual,,أَنتُما,هُما
masculine,plural,نَحْنُ,أنتُم,هُم
feminine,singular,أنا,أَنْتِ,هِتَ
feminine,dual,,أَنتُما,هُما
feminine,plural,نَحْنُ,أَنتُنَّ,هُنَّ
